Field,Description
hitID,unique Motus ID for this tag detection
runID,unique Motus ID for the run this detection belongs to
batchID,unique Motus ID for the processing batch this detection came from
ts,"timestamp, in seconds since 1 Jan, 1970 GMT; precision: 0.1 ms (SG); 2.5 ms (Lotek). "
sig,"signal strength in ""native units""; for SG: dB (max) (logarithmic, 0 = max possible, -10 = 0.1 * max, etc.); for Lotek: raw value (0...255)"
sigsd,std. dev. in signal strength among pulses in this burst. SG Only; NA for Lotek
noise,"estimate of background radio noise when tag detected, in dB (max) for SG; NA for Lotek"
freq,"frequency offset from antenna listening frequency, in kHz for SG only; NA for Lotek"
freqsd,"std. dev. of freq offset among pulses in this burst, in kHz. Values larger than 0.1 kHz suggest a bogus detection. SG only; NA for Lotek. "
slop,total absolute difference (milliseconds) in inter-pulse intervals for this burst between registration and detection. SG only; NA for Lotek
burstSlop,signed difference (seconds) between detection and registration burst intervals. This is always 0 for the first burst in a run (see posInRun)
done,logical: is run finished?
motusTagID,Motus tag ID - unique to each individual tag registered
ambigID,ambiguous ID assigned to ambiguous tags
ant,the port number that the detection occurred on
runLen,number of tag bursts in the current run; constant for all records having the same runID
bootnum,boot session of receiver for SG; NA for Lotek
tagProjectID,ID of the project that manages this tag. 
mfgID,manufacturer ID
tagType,
codeSet,"for coded tags, the name of the codeset (e.g. 'Lotek-3')"
mfg,tag manufacturer
tagModel,manufacturer's model name for a tag (e.g. 'NTQB-3-2')
tagLifespan,estimated lifespan of tag (days)
nomFreq,"nominal tag frequency  (MOTUS: Nominal frequency receiver was tuned to, in Mhz. This really only applies to SG, where we usually tune 4 kHz below the nominal tag frequency. So in that case, antFreq = 166.376 while nomFreq = 166.380"
tagBI,"burst interval of tag, in seconds (e.g., 5.8984)"
pulseLen,"tag pulse length (milliseconds), if applicable. This value is only assigned based on the sample recording of the tag."
tagDeployID,Motus tag deployment ID
speciesID,unique numeric Motus ID (integer) for the species on which the tag was deployed
markerNumber,"number for any additional marker placed on organism (e.g., bird band #)"
markerType,type of additional marker (e.g. metal band)
tagDeployLat,"latitude of tag deployment,  in decimal degrees N - negative values for Southern hemisphere"
tagDeployLon,"longitude of tag deployment, in decimal degrees E - negative values for Western hemisphere"
tagDeployAlt,"altitude of tag deployment, in meters ASL"
tagDeployComments,additional comments or unclassified metadata for tag (often in JSON format)
fullID,full tag ID as PROJECT#MFGID:BI@NOMFREQ. Not necessarily unique over time. See motusTagID for a unique tag
deviceID,Motus device ID associated with the receiver serial number
recvDeployLat,"latitude of receiver deployment,  in decimal degrees N - negative values for Southern hemisphere"
recvDeployLon,"longitude of receiver deployment, in decimal degrees E - negative values for Western hemisphere"
recvDeployElevation,"elevation of receiver deployment, in meters ASL"
recv,"serial number of the receiver; e.g., SG-1234BBBK5678 or Lotek-12345"
recvDeployName,name assigned to the receiver deployment by the project manager
recvSiteName,name assigned to a site by the project manager (e.g. location name). The same label can be used for multiple deployments.
isRecvMobile,logical; whether the sensor is deployed on a mobile platform (eg. a ship)
recvProjID,"unique (numeric) ID of the project that deployed this receiver (e.g., 8)"
antType,"character; antenna type, e.g. ""9-element Yagi"", ""Omni"""
antBearing,numeric; compass direction antenna main axis is pointing at (degrees clockwise from local magnetic North 0-360)
antHeight,numeric; height (meters) of antenna main axis above ground
speciesEN,species English (common) name
speciesFR,species French (common) name
speciesSci,species scientific name
speciesGroup,"species group, e.g., BIRDS, BATS"
tagProjName,"short label of project that deployed the tag, e.g., ""HolbSESA"""
recvProjName,"short label of project that deployed the receiver e.g., ""HolbSESA"""
gpsLat,latitude of receiver GPS location at time of writing the hourly detections file (degrees North)
gpsLon,longitude of receiver GPS  location at time of writing the hourly detections file (degrees East)
gpsAlt,altitude of receiver GPS at time of writing the hourly detections file (meters)
tagDeployStart,tag deployment start date
tagDeployEnd,tag deployment end date
